source_id,target_id,relationship_type
CVE-2023-0456,CWE-862,IS_INSTANCE_OF
CVE-2023-0457,CWE-522,IS_INSTANCE_OF
CVE-2023-0458,CWE-476,IS_INSTANCE_OF
CVE-2023-0459,CWE-763,IS_INSTANCE_OF
CVE-2023-0460,CWE-470,IS_INSTANCE_OF
CVE-2023-0461,CWE-416,IS_INSTANCE_OF
CVE-2023-0462,CWE-94,IS_INSTANCE_OF
CVE-2023-0464,CWE-295,IS_INSTANCE_OF
CVE-2023-0465,CWE-295,IS_INSTANCE_OF
CVE-2023-0466,CWE-295,IS_INSTANCE_OF
CVE-2023-0467,CWE-22,IS_INSTANCE_OF
CVE-2023-0468,CWE-416,IS_INSTANCE_OF
CVE-2023-0469,CWE-191,IS_INSTANCE_OF
CVE-2023-0471,CWE-416,IS_INSTANCE_OF
CVE-2023-0472,CWE-416,IS_INSTANCE_OF
CVE-2023-0473,CWE-843,IS_INSTANCE_OF
CVE-2023-0474,CWE-416,IS_INSTANCE_OF
CVE-2023-0476,CWE-74,IS_INSTANCE_OF
CVE-2023-0477,CWE-434,IS_INSTANCE_OF
CVE-2023-0479,CWE-79,IS_INSTANCE_OF
CVE-2023-0480,CWE-352,IS_INSTANCE_OF
CVE-2023-0481,CWE-668,IS_INSTANCE_OF
CVE-2023-0482,CWE-378,IS_INSTANCE_OF
CVE-2023-0485,CWE-668,IS_INSTANCE_OF
CVE-2023-0486,CWE-79,IS_INSTANCE_OF
CVE-2023-0487,CWE-89,IS_INSTANCE_OF
CVE-2023-0493,CWE-74,IS_INSTANCE_OF
CVE-2023-0494,CWE-416,IS_INSTANCE_OF
CVE-2023-0498,CWE-352,IS_INSTANCE_OF
CVE-2023-0507,CWE-79,IS_INSTANCE_OF
CVE-2023-0511,CWE-22,IS_INSTANCE_OF
CVE-2023-0513,CWE-79,IS_INSTANCE_OF
CVE-2023-0519,CWE-79,IS_INSTANCE_OF
CVE-2023-0523,CWE-79,IS_INSTANCE_OF
CVE-2023-0525,CWE-326,IS_INSTANCE_OF
CVE-2023-0539,CWE-79,IS_INSTANCE_OF
CVE-2023-0547,CWE-295,IS_INSTANCE_OF
CVE-2023-0548,CWE-79,IS_INSTANCE_OF
CVE-2023-0553,CWE-79,IS_INSTANCE_OF
CVE-2023-0567,CWE-916,IS_INSTANCE_OF
CVE-2023-0568,CWE-770,IS_INSTANCE_OF
CVE-2023-0572,CWE-754,IS_INSTANCE_OF
CVE-2023-0577,CWE-79,IS_INSTANCE_OF
CVE-2023-0578,CWE-79,IS_INSTANCE_OF
CVE-2023-0580,CWE-922,IS_INSTANCE_OF
CVE-2023-0582,CWE-22,IS_INSTANCE_OF
CVE-2023-0587,CWE-434,IS_INSTANCE_OF
CVE-2023-0590,CWE-416,IS_INSTANCE_OF
CVE-2023-0591,CWE-22,IS_INSTANCE_OF
CVE-2023-0592,CWE-22,IS_INSTANCE_OF
CVE-2023-0593,CWE-22,IS_INSTANCE_OF
CVE-2023-0594,CWE-79,IS_INSTANCE_OF
CVE-2023-0597,CWE-200,IS_INSTANCE_OF
CVE-2023-0597,CWE-401,IS_INSTANCE_OF
CVE-2023-0599,CWE-79,IS_INSTANCE_OF
CVE-2023-0614,CWE-312,IS_INSTANCE_OF
CVE-2023-0615,CWE-369,IS_INSTANCE_OF
CVE-2023-0615,CWE-190,IS_INSTANCE_OF
CVE-2023-0615,CWE-401,IS_INSTANCE_OF
CVE-2023-0616,CWE-400,IS_INSTANCE_OF
CVE-2023-0618,CWE-787,IS_INSTANCE_OF
CVE-2023-0620,CWE-89,IS_INSTANCE_OF
CVE-2023-0624,CWE-79,IS_INSTANCE_OF
CVE-2023-0625,CWE-94,IS_INSTANCE_OF
CVE-2023-0626,CWE-94,IS_INSTANCE_OF
CVE-2023-0628,CWE-77,IS_INSTANCE_OF
CVE-2023-0632,CWE-1333,IS_INSTANCE_OF
CVE-2023-0633,CWE-88,IS_INSTANCE_OF
CVE-2023-0637,CWE-787,IS_INSTANCE_OF
CVE-2023-0645,CWE-125,IS_INSTANCE_OF
CVE-2023-0652,CWE-59,IS_INSTANCE_OF
CVE-2023-0654,CWE-1021,IS_INSTANCE_OF
CVE-2023-0655,CWE-209,IS_INSTANCE_OF
CVE-2023-0656,CWE-787,IS_INSTANCE_OF
CVE-2023-0657,CWE-273,IS_INSTANCE_OF
CVE-2023-0662,CWE-400,IS_INSTANCE_OF
CVE-2023-0664,CWE-250,IS_INSTANCE_OF
CVE-2023-0664,CWE-269,IS_INSTANCE_OF
CVE-2023-0666,CWE-787,IS_INSTANCE_OF
CVE-2023-0667,CWE-787,IS_INSTANCE_OF
CVE-2023-0668,CWE-787,IS_INSTANCE_OF
CVE-2023-0669,CWE-502,IS_INSTANCE_OF
CVE-2023-0670,CWE-434,IS_INSTANCE_OF
CVE-2023-0673,CWE-89,IS_INSTANCE_OF
CVE-2023-0676,CWE-79,IS_INSTANCE_OF
CVE-2023-0677,CWE-79,IS_INSTANCE_OF
CVE-2023-0678,CWE-862,IS_INSTANCE_OF
CVE-2023-0681,CWE-601,IS_INSTANCE_OF
CVE-2023-0687,CWE-120,IS_INSTANCE_OF
CVE-2023-0690,CWE-311,IS_INSTANCE_OF
CVE-2023-0695,CWE-79,IS_INSTANCE_OF
CVE-2023-0696,CWE-843,IS_INSTANCE_OF
CVE-2023-0698,CWE-125,IS_INSTANCE_OF
CVE-2023-0699,CWE-416,IS_INSTANCE_OF
CVE-2023-0701,CWE-787,IS_INSTANCE_OF
CVE-2023-0702,CWE-843,IS_INSTANCE_OF
CVE-2023-0703,CWE-843,IS_INSTANCE_OF
CVE-2023-0705,CWE-190,IS_INSTANCE_OF
CVE-2023-0713,CWE-862,IS_INSTANCE_OF
CVE-2023-0714,CWE-434,IS_INSTANCE_OF
CVE-2023-0720,CWE-862,IS_INSTANCE_OF
CVE-2023-0738,CWE-79,IS_INSTANCE_OF
CVE-2023-0745,CWE-22,IS_INSTANCE_OF
CVE-2023-0746,CWE-79,IS_INSTANCE_OF
CVE-2023-0748,CWE-601,IS_INSTANCE_OF
CVE-2023-0750,CWE-311,IS_INSTANCE_OF
CVE-2023-0763,CWE-352,IS_INSTANCE_OF
CVE-2023-0769,CWE-79,IS_INSTANCE_OF
CVE-2023-0770,CWE-787,IS_INSTANCE_OF
CVE-2023-0773,CWE-287,IS_INSTANCE_OF
CVE-2023-0776,CWE-77,IS_INSTANCE_OF
CVE-2023-0778,CWE-367,IS_INSTANCE_OF
CVE-2023-0779,CWE-476,IS_INSTANCE_OF
CVE-2023-0784,CWE-89,IS_INSTANCE_OF
CVE-2023-0785,CWE-202,IS_INSTANCE_OF
CVE-2023-0793,CWE-521,IS_INSTANCE_OF
CVE-2023-0795,CWE-125,IS_INSTANCE_OF
CVE-2023-0796,CWE-125,IS_INSTANCE_OF
CVE-2023-0797,CWE-125,IS_INSTANCE_OF
CVE-2023-0798,CWE-125,IS_INSTANCE_OF
CVE-2023-0799,CWE-416,IS_INSTANCE_OF
CVE-2023-0800,CWE-787,IS_INSTANCE_OF
CVE-2023-0801,CWE-787,IS_INSTANCE_OF
CVE-2023-0802,CWE-787,IS_INSTANCE_OF
CVE-2023-0803,CWE-787,IS_INSTANCE_OF
CVE-2023-0804,CWE-787,IS_INSTANCE_OF
CVE-2023-0808,CWE-798,IS_INSTANCE_OF
CVE-2023-0809,CWE-770,IS_INSTANCE_OF
CVE-2023-0813,CWE-287,IS_INSTANCE_OF
CVE-2023-0814,CWE-863,IS_INSTANCE_OF
CVE-2023-0815,CWE-532,IS_INSTANCE_OF
CVE-2023-0816,CWE-290,IS_INSTANCE_OF
CVE-2023-0817,CWE-125,IS_INSTANCE_OF
CVE-2023-0822,CWE-552,IS_INSTANCE_OF
CVE-2023-0824,CWE-352,IS_INSTANCE_OF
CVE-2023-0828,CWE-79,IS_INSTANCE_OF
CVE-2023-0829,CWE-79,IS_INSTANCE_OF
CVE-2023-0830,CWE-78,IS_INSTANCE_OF
CVE-2023-0830,CWE-77,IS_INSTANCE_OF
CVE-2023-0833,CWE-209,IS_INSTANCE_OF
CVE-2023-0834,CWE-732,IS_INSTANCE_OF
CVE-2023-0835,CWE-79,IS_INSTANCE_OF
CVE-2023-0836,CWE-200,IS_INSTANCE_OF
CVE-2023-0836,CWE-459,IS_INSTANCE_OF
CVE-2023-0841,CWE-787,IS_INSTANCE_OF
CVE-2023-0842,CWE-1321,IS_INSTANCE_OF
CVE-2023-0845,CWE-476,IS_INSTANCE_OF
CVE-2023-0846,CWE-79,IS_INSTANCE_OF
CVE-2023-0851,CWE-787,IS_INSTANCE_OF
CVE-2023-0852,CWE-787,IS_INSTANCE_OF
CVE-2023-0853,CWE-787,IS_INSTANCE_OF
CVE-2023-0854,CWE-787,IS_INSTANCE_OF
CVE-2023-0855,CWE-787,IS_INSTANCE_OF
CVE-2023-0856,CWE-787,IS_INSTANCE_OF
CVE-2023-0858,CWE-287,IS_INSTANCE_OF
CVE-2023-0861,CWE-78,IS_INSTANCE_OF
CVE-2023-0862,CWE-22,IS_INSTANCE_OF
CVE-2023-0863,CWE-287,IS_INSTANCE_OF
CVE-2023-0864,CWE-319,IS_INSTANCE_OF
CVE-2023-0867,CWE-79,IS_INSTANCE_OF
CVE-2023-0868,CWE-79,IS_INSTANCE_OF
CVE-2023-0869,CWE-79,IS_INSTANCE_OF
CVE-2023-0870,CWE-352,IS_INSTANCE_OF
CVE-2023-0871,CWE-611,IS_INSTANCE_OF
CVE-2023-0878,CWE-79,IS_INSTANCE_OF
CVE-2023-0882,CWE-639,IS_INSTANCE_OF
CVE-2023-0888,CWE-94,IS_INSTANCE_OF
CVE-2023-0890,CWE-862,IS_INSTANCE_OF
CVE-2023-0897,CWE-384,IS_INSTANCE_OF
CVE-2023-0898,CWE-427,IS_INSTANCE_OF
CVE-2023-0903,CWE-89,IS_INSTANCE_OF
CVE-2023-0908,CWE-404,IS_INSTANCE_OF
CVE-2023-0909,CWE-404,IS_INSTANCE_OF
CVE-2023-0911,CWE-862,IS_INSTANCE_OF
CVE-2023-0921,CWE-770,IS_INSTANCE_OF
CVE-2023-0922,CWE-319,IS_INSTANCE_OF
CVE-2023-0923,CWE-862,IS_INSTANCE_OF
CVE-2023-0925,CWE-502,IS_INSTANCE_OF
CVE-2023-0926,CWE-79,IS_INSTANCE_OF
CVE-2023-0927,CWE-416,IS_INSTANCE_OF
CVE-2023-0928,CWE-416,IS_INSTANCE_OF
CVE-2023-0929,CWE-416,IS_INSTANCE_OF
CVE-2023-0930,CWE-787,IS_INSTANCE_OF
CVE-2023-0931,CWE-416,IS_INSTANCE_OF
CVE-2023-0932,CWE-416,IS_INSTANCE_OF
CVE-2023-0933,CWE-190,IS_INSTANCE_OF
CVE-2023-0939,CWE-89,IS_INSTANCE_OF
CVE-2023-0940,CWE-863,IS_INSTANCE_OF
CVE-2023-0941,CWE-416,IS_INSTANCE_OF
CVE-2023-0944,CWE-732,IS_INSTANCE_OF
CVE-2023-0948,CWE-79,IS_INSTANCE_OF
CVE-2023-0949,CWE-79,IS_INSTANCE_OF
CVE-2023-0950,CWE-129,IS_INSTANCE_OF
CVE-2023-0952,CWE-863,IS_INSTANCE_OF
CVE-2023-0953,CWE-89,IS_INSTANCE_OF
CVE-2023-0956,CWE-22,IS_INSTANCE_OF
CVE-2023-0957,CWE-346,IS_INSTANCE_OF
CVE-2023-0959,CWE-269,IS_INSTANCE_OF
CVE-2023-0967,CWE-639,IS_INSTANCE_OF
CVE-2023-0969,CWE-119,IS_INSTANCE_OF
CVE-2023-0970,CWE-120,IS_INSTANCE_OF
CVE-2023-0971,CWE-863,IS_INSTANCE_OF
CVE-2023-0972,CWE-119,IS_INSTANCE_OF
CVE-2023-0975,CWE-281,IS_INSTANCE_OF
CVE-2023-0976,CWE-427,IS_INSTANCE_OF
CVE-2023-0977,CWE-787,IS_INSTANCE_OF
CVE-2023-0978,CWE-77,IS_INSTANCE_OF
CVE-2023-0992,CWE-79,IS_INSTANCE_OF
CVE-2023-0995,CWE-79,IS_INSTANCE_OF
CVE-2023-0996,CWE-120,IS_INSTANCE_OF
CVE-2023-1003,CWE-94,IS_INSTANCE_OF
CVE-2023-1004,CWE-94,IS_INSTANCE_OF
CVE-2023-1017,CWE-787,IS_INSTANCE_OF
CVE-2023-1018,CWE-125,IS_INSTANCE_OF
CVE-2023-1025,CWE-79,IS_INSTANCE_OF
CVE-2023-1027,CWE-862,IS_INSTANCE_OF
CVE-2023-1029,CWE-352,IS_INSTANCE_OF
CVE-2023-1030,CWE-79,IS_INSTANCE_OF
CVE-2023-1030,CWE-94,IS_INSTANCE_OF
CVE-2023-1032,CWE-415,IS_INSTANCE_OF
CVE-2023-1035,CWE-89,IS_INSTANCE_OF
CVE-2023-1043,CWE-22,IS_INSTANCE_OF
CVE-2023-1044,CWE-22,IS_INSTANCE_OF
CVE-2023-1045,CWE-22,IS_INSTANCE_OF
CVE-2023-1048,CWE-665,IS_INSTANCE_OF
CVE-2023-1049,CWE-94,IS_INSTANCE_OF
CVE-2023-1050,CWE-89,IS_INSTANCE_OF
CVE-2023-1055,CWE-295,IS_INSTANCE_OF
CVE-2023-1059,CWE-89,IS_INSTANCE_OF
CVE-2023-1059,CWE-74,IS_INSTANCE_OF
CVE-2023-1061,CWE-89,IS_INSTANCE_OF
CVE-2023-1061,CWE-74,IS_INSTANCE_OF
CVE-2023-1064,CWE-89,IS_INSTANCE_OF
CVE-2023-1065,CWE-287,IS_INSTANCE_OF
CVE-2023-1071,CWE-863,IS_INSTANCE_OF
CVE-2023-1072,CWE-400,IS_INSTANCE_OF
CVE-2023-1073,CWE-787,IS_INSTANCE_OF
CVE-2023-1074,CWE-401,IS_INSTANCE_OF
CVE-2023-1075,CWE-843,IS_INSTANCE_OF
CVE-2023-1076,CWE-843,IS_INSTANCE_OF
CVE-2023-1077,CWE-843,IS_INSTANCE_OF
CVE-2023-1078,CWE-843,IS_INSTANCE_OF
CVE-2023-1079,CWE-416,IS_INSTANCE_OF
CVE-2023-1081,CWE-79,IS_INSTANCE_OF
CVE-2023-1089,CWE-352,IS_INSTANCE_OF
CVE-2023-1091,CWE-89,IS_INSTANCE_OF
CVE-2023-1095,CWE-476,IS_INSTANCE_OF
CVE-2023-1097,CWE-77,IS_INSTANCE_OF
CVE-2023-1101,CWE-307,IS_INSTANCE_OF
CVE-2023-1101,CWE-307,IS_INSTANCE_OF
CVE-2023-1108,CWE-835,IS_INSTANCE_OF
CVE-2023-1112,CWE-22,IS_INSTANCE_OF
CVE-2023-1118,CWE-416,IS_INSTANCE_OF
CVE-2023-1121,CWE-79,IS_INSTANCE_OF
CVE-2023-1133,CWE-502,IS_INSTANCE_OF
CVE-2023-1134,CWE-22,IS_INSTANCE_OF
CVE-2023-1135,CWE-732,IS_INSTANCE_OF
CVE-2023-1136,CWE-863,IS_INSTANCE_OF
CVE-2023-1137,CWE-522,IS_INSTANCE_OF
CVE-2023-1139,CWE-502,IS_INSTANCE_OF
CVE-2023-1140,CWE-306,IS_INSTANCE_OF
CVE-2023-1141,CWE-77,IS_INSTANCE_OF
CVE-2023-1142,CWE-22,IS_INSTANCE_OF
CVE-2023-1144,CWE-863,IS_INSTANCE_OF
CVE-2023-1145,CWE-502,IS_INSTANCE_OF
CVE-2023-1148,CWE-79,IS_INSTANCE_OF
CVE-2023-1152,CWE-89,IS_INSTANCE_OF
CVE-2023-1152,CWE-89,IS_INSTANCE_OF
CVE-2023-1153,CWE-89,IS_INSTANCE_OF
CVE-2023-1154,CWE-79,IS_INSTANCE_OF
CVE-2023-1157,CWE-404,IS_INSTANCE_OF
CVE-2023-1158,CWE-863,IS_INSTANCE_OF
CVE-2023-1159,CWE-79,IS_INSTANCE_OF
CVE-2023-1164,CWE-863,IS_INSTANCE_OF
CVE-2023-1167,CWE-862,IS_INSTANCE_OF
CVE-2023-1176,CWE-36,IS_INSTANCE_OF
CVE-2023-1177,CWE-29,IS_INSTANCE_OF
CVE-2023-1178,CWE-94,IS_INSTANCE_OF
CVE-2023-1183,CWE-22,IS_INSTANCE_OF
CVE-2023-1186,CWE-476,IS_INSTANCE_OF
CVE-2023-1187,CWE-404,IS_INSTANCE_OF
CVE-2023-1188,CWE-404,IS_INSTANCE_OF
CVE-2023-1192,CWE-416,IS_INSTANCE_OF
CVE-2023-1193,CWE-416,IS_INSTANCE_OF
CVE-2023-1194,CWE-125,IS_INSTANCE_OF
CVE-2023-1195,CWE-416,IS_INSTANCE_OF
CVE-2023-1198,CWE-89,IS_INSTANCE_OF
CVE-2023-1202,CWE-863,IS_INSTANCE_OF
CVE-2023-1205,CWE-352,IS_INSTANCE_OF
CVE-2023-1206,CWE-400,IS_INSTANCE_OF
CVE-2023-1209,CWE-79,IS_INSTANCE_OF
CVE-2023-1211,CWE-89,IS_INSTANCE_OF
CVE-2023-1212,CWE-79,IS_INSTANCE_OF
CVE-2023-1213,CWE-416,IS_INSTANCE_OF
CVE-2023-1214,CWE-843,IS_INSTANCE_OF
CVE-2023-1215,CWE-843,IS_INSTANCE_OF
CVE-2023-1216,CWE-416,IS_INSTANCE_OF
CVE-2023-1217,CWE-787,IS_INSTANCE_OF
CVE-2023-1218,CWE-416,IS_INSTANCE_OF
CVE-2023-1219,CWE-787,IS_INSTANCE_OF
CVE-2023-1220,CWE-787,IS_INSTANCE_OF
CVE-2023-1222,CWE-787,IS_INSTANCE_OF
CVE-2023-1227,CWE-416,IS_INSTANCE_OF
CVE-2023-1229,CWE-276,IS_INSTANCE_OF
CVE-2023-1235,CWE-843,IS_INSTANCE_OF
