id,name,description,abstraction,type,labels
CWE-1038,Insecure Automated Optimizations,"The product uses a mechanism that automatically optimizes code, e.g. to improve a characteristic such as performance, but the optimizations can have an unintended side effect that might violate an intended security assumption.",Class,Weakness,CWE;Weakness
CWE-1039,Automated Recognition Mechanism with Inadequate Detection or Handling of Adversarial Input Perturbations,"The product uses an automated mechanism such as machine learning to recognize complex data inputs (e.g. image or audio) as a particular concept or category, but it does not properly detect or handle inputs that have been modified or constructed in a way that causes the mechanism to detect a different, incorrect concept.",Class,Weakness,CWE;Weakness
CWE-104,Struts: Form Bean Does Not Extend Validation Class,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.",Variant,Weakness,CWE;Weakness
CWE-1041,Use of Redundant Code,"The software has multiple functions, methods, procedures, macros, etc. that
					contain the same code.",Base,Weakness,CWE;Weakness
CWE-1042,Static Member Data Element outside of a Singleton Class Element,"The code contains a member element that is declared as static (but not final), in which
					its parent class element 
					is not a singleton class - that is, a class element that can be used only once in
					the 'to' association of a Create action.",Variant,Weakness,CWE;Weakness
CWE-1043,Data Element Aggregating an Excessively Large Number of Non-Primitive Elements,"The software uses a data element that has an excessively large
					number of sub-elements with non-primitive data types such as structures or aggregated objects.",Base,Weakness,CWE;Weakness
CWE-1044,Architecture with Number of Horizontal Layers Outside of Expected Range,"The software's architecture contains too many - or too few -
					horizontal layers.",Base,Weakness,CWE;Weakness
CWE-1045,Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor.",Variant,Weakness,CWE;Weakness
CWE-1046,Creation of Immutable Text Using String Concatenation,The software creates an immutable text string using string concatenation operations.,Base,Weakness,CWE;Weakness
CWE-1047,Modules with Circular Dependencies,"The software contains modules in which one module has references that cycle back to itself, i.e., there are circular dependencies.",Base,Weakness,CWE;Weakness
CWE-1048,Invokable Control Element with Large Number of Outward Calls,"The code contains callable control elements that
         contain an excessively large number of references to other
         application objects external to the context of the callable,
         i.e. a Fan-Out value that is excessively large.",Base,Weakness,CWE;Weakness
CWE-1049,Excessive Data Query Operations in a Large Data Table,"The software performs a data query with a large number of joins
					and sub-queries on a large data table.",Base,Weakness,CWE;Weakness
CWE-105,Struts: Form Field Without Validator,"The application has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.",Variant,Weakness,CWE;Weakness
CWE-1050,Excessive Platform Resource Consumption within a Loop,"The software has a loop body or loop condition that contains a control element that directly or
					indirectly consumes platform resources, e.g. messaging, sessions, locks, or file
					descriptors.",Base,Weakness,CWE;Weakness
CWE-1051,Initialization with Hard-Coded Network Resource Configuration Data,The software initializes data using hard-coded values that act as network resource identifiers.,Base,Weakness,CWE;Weakness
CWE-1052,Excessive Use of Hard-Coded Literals in Initialization,"The software initializes a data element using a hard-coded
					literal that is not a simple integer or static constant element.",Base,Weakness,CWE;Weakness
CWE-1053,Missing Documentation for Design,The product does not have documentation that represents how it is designed.,Base,Weakness,CWE;Weakness
CWE-1054,Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer,"The code at one architectural layer invokes code that resides
					at a deeper layer than the adjacent layer, i.e., the invocation skips at least one
					layer, and the invoked code is not part of a vertical utility layer that can be referenced from any horizontal layer.",Base,Weakness,CWE;Weakness
CWE-1055,Multiple Inheritance from Concrete Classes,"The software contains a class with inheritance from more than
					one concrete class.",Base,Weakness,CWE;Weakness
CWE-1056,Invokable Control Element with Variadic Parameters,"A named-callable or method control element has a signature that
					supports a variable (variadic) number of parameters or arguments.",Base,Weakness,CWE;Weakness
CWE-1057,Data Access Operations Outside of Expected Data Manager Component,"The software uses a dedicated, central data manager component as required by design, but it contains code that performs data-access operations that do not use this data manager.",Base,Weakness,CWE;Weakness
CWE-1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,"The code contains a function or method that
		 operates in a multi-threaded environment but owns an unsafe non-final
		                     static storable or member data element.",Base,Weakness,CWE;Weakness
CWE-1059,Insufficient Technical Documentation,"The product does not contain sufficient
         technical or engineering documentation (whether on paper or
         in electronic form) that contains descriptions of all the
         relevant software/hardware elements of the product, such as
         its usage, structure, architectural components, interfaces, design, implementation,
         configuration, operation, etc.",Class,Weakness,CWE;Weakness
CWE-106,Struts: Plug-in Framework not in Use,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.",Variant,Weakness,CWE;Weakness
CWE-1060,Excessive Number of Inefficient Server-Side Data Accesses,The software performs too many data queries without using efficient data processing functionality such as stored procedures.,Base,Weakness,CWE;Weakness
CWE-1061,Insufficient Encapsulation,"The software does not sufficiently hide the internal representation and implementation details of data or methods, which might allow external components or modules to modify data unexpectedly, invoke unexpected functionality, or introduce dependencies that the programmer did not intend.",Class,Weakness,CWE;Weakness
CWE-1062,Parent Class with References to Child Class,"The code has a parent class that contains references to a child class, its methods, or its members.",Base,Weakness,CWE;Weakness
CWE-1063,Creation of Class Instance within a Static Code Block,A static code block creates an instance of a class.,Base,Weakness,CWE;Weakness
CWE-1064,Invokable Control Element with Signature Containing an Excessive Number of Parameters,"The software contains a function, subroutine, or method whose signature has an unnecessarily large number of
					parameters/arguments.",Base,Weakness,CWE;Weakness
CWE-1065,Runtime Resource Management Control Element in a Component Built to Run on Application Servers,"The application uses deployed components from application servers, but it also uses low-level functions/methods for management of resources, instead of the API provided by the application server.",Base,Weakness,CWE;Weakness
CWE-1066,Missing Serialization Control Element,"The software contains a serializable data element that does not
					have an associated serialization method.",Base,Weakness,CWE;Weakness
CWE-1067,Excessive Execution of Sequential Searches of Data Resource,"The software contains a data query against an SQL table or view
					that is configured in a way that does not utilize an index and may cause
					sequential searches to be performed.",Base,Weakness,CWE;Weakness
CWE-1068,Inconsistency Between Implementation and Documented Design,"The implementation of the product is not consistent with the
					design as described within the relevant documentation.",Base,Weakness,CWE;Weakness
CWE-1069,Empty Exception Block,"An invokable code block contains an exception handling block that does not contain any code, i.e. is empty.",Base,Weakness,CWE;Weakness
CWE-107,Struts: Unused Validation Form,An unused validation form indicates that validation logic is not up-to-date.,Variant,Weakness,CWE;Weakness
CWE-1070,Serializable Data Element Containing non-Serializable Item Elements,"The software contains a serializable, storable data element such as a field or member,
					but the data element contains member elements that are not
					serializable.",Base,Weakness,CWE;Weakness
CWE-1071,Empty Code Block,"The source code contains a block that does not contain any code, i.e., the block is empty.",Base,Weakness,CWE;Weakness
CWE-1072,Data Resource Access without Use of Connection Pooling,"The software accesses a data resource through a database without using a
					connection pooling capability.",Base,Weakness,CWE;Weakness
CWE-1073,Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,"The software contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.",Base,Weakness,CWE;Weakness
CWE-1074,Class with Excessively Deep Inheritance,"A class has an inheritance level that is too high, i.e., it
					has a large number of parent classes.",Base,Weakness,CWE;Weakness
CWE-1075,Unconditional Control Flow Transfer outside of Switch Block,"The software performs unconditional control transfer (such as a
					'goto') in code outside of a branching structure such as a switch
					block.",Base,Weakness,CWE;Weakness
CWE-1076,Insufficient Adherence to Expected Conventions,"The product's architecture, source code, design, documentation,
					or other artifact does not follow required conventions.",Class,Weakness,CWE;Weakness
CWE-1077,Floating Point Comparison with Incorrect Operator,"The code performs a comparison such as an
        equality test between two float (floating point) values, but
        it uses comparison operators that do not account for the
        possibility of loss of precision.",Variant,Weakness,CWE;Weakness
CWE-1078,Inappropriate Source Code Style or Formatting,"The source code does not follow
				desired style or formatting for indentation, white
				space, comments, etc.",Class,Weakness,CWE;Weakness
CWE-1079,Parent Class without Virtual Destructor Method,"A parent class contains one or more child classes, but the parent class does not have a virtual destructor method.",Base,Weakness,CWE;Weakness
CWE-108,Struts: Unvalidated Action Form,Every Action Form must have a corresponding validation form.,Variant,Weakness,CWE;Weakness
CWE-1080,Source Code File with Excessive Number of Lines of Code,"A source code file has too many lines of
					code.",Base,Weakness,CWE;Weakness
CWE-1082,Class Instance Self Destruction Control Element,The code contains a class instance that calls the method or function to delete or destroy itself.,Base,Weakness,CWE;Weakness
CWE-1083,Data Access from Outside Expected Data Manager Component,"The software is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.",Base,Weakness,CWE;Weakness
CWE-1084,Invokable Control Element with Excessive File or Data Access Operations,"A function or method contains too many
					operations that utilize a data manager or file resource.",Base,Weakness,CWE;Weakness
CWE-1085,Invokable Control Element with Excessive Volume of Commented-out Code,"A function, method, procedure, etc. contains an excessive amount of code that has been
					commented out within its body.",Base,Weakness,CWE;Weakness
CWE-1086,Class with Excessive Number of Child Classes,"A class contains an unnecessarily large number of
					children.",Base,Weakness,CWE;Weakness
CWE-1087,Class with Virtual Method without a Virtual Destructor,"A class contains a virtual method, but the method does not have an associated virtual destructor.",Base,Weakness,CWE;Weakness
CWE-1088,Synchronous Access of Remote Resource without Timeout,"The code has a synchronous call to a remote resource, but there is no timeout for the call, or the timeout is set to infinite.",Base,Weakness,CWE;Weakness
CWE-1089,Large Data Table with Excessive Number of Indices,"The software uses a large data table that contains an excessively large number of
					indices.",Base,Weakness,CWE;Weakness
CWE-109,Struts: Validator Turned Off,"Automatic filtering via a Struts bean has been turned off, which disables the Struts Validator and custom validation logic. This exposes the application to other weaknesses related to insufficient input validation.",Variant,Weakness,CWE;Weakness
CWE-1090,Method Containing Access of a Member Element from Another Class,"A method for a class performs an operation that directly
					accesses a member element from another class.",Base,Weakness,CWE;Weakness
CWE-1091,Use of Object without Invoking Destructor Method,"The software contains a method that accesses an object but does not later invoke
					the element's associated finalize/destructor method.",Base,Weakness,CWE;Weakness
CWE-1092,Use of Same Invokable Control Element in Multiple Architectural Layers,"The software uses the same control element across multiple
					architectural layers.",Base,Weakness,CWE;Weakness
CWE-1093,Excessively Complex Data Representation,The software uses an unnecessarily complex internal representation for its data structures or interrelationships between those structures.,Class,Weakness,CWE;Weakness
CWE-1094,Excessive Index Range Scan for a Data Resource,"The software contains an index range scan for a large data table,
					but the scan can cover a large number of rows.",Base,Weakness,CWE;Weakness
CWE-1095,Loop Condition Value Update within the Loop,"The software uses a loop with a control flow condition based on
					a value that is updated within the body of the loop.",Base,Weakness,CWE;Weakness
CWE-1096,Singleton Class Instance Creation without Proper Locking or Synchronization,The software implements a Singleton design pattern but does not use appropriate locking or other synchronization mechanism to ensure that the singleton class is only instantiated once.,Variant,Weakness,CWE;Weakness
CWE-1097,Persistent Storable Data Element without Associated Comparison Control Element,"The software uses a storable data element that does not have
					all of the associated functions or methods that are necessary to support
					comparison.",Base,Weakness,CWE;Weakness
CWE-1098,Data Element containing Pointer Item without Proper Copy Control Element,The code contains a data element with a pointer that does not have an associated copy or constructor method.,Variant,Weakness,CWE;Weakness
CWE-1099,Inconsistent Naming Conventions for Identifiers,"The product's code, documentation, or other artifacts do not
					consistently use the same naming conventions for variables, callables, groups of
					related callables, I/O capabilities, data types, file names, or similar types of
					elements.",Base,Weakness,CWE;Weakness
CWE-11,ASP.NET Misconfiguration: Creating Debug Binary,Debugging messages help attackers learn about the system and plan a form of attack.,Variant,Weakness,CWE;Weakness
CWE-110,Struts: Validator Without Form Field,Validation fields that do not appear in forms they are associated with indicate that the validation logic is out of date.,Variant,Weakness,CWE;Weakness
CWE-1100,Insufficient Isolation of System-Dependent Functions,"The product or code does not isolate system-dependent
					functionality into separate standalone modules.",Base,Weakness,CWE;Weakness
CWE-1101,Reliance on Runtime Component in Generated Code,"The product uses automatically-generated code that cannot be
					executed without a specific runtime support component.",Base,Weakness,CWE;Weakness
CWE-1102,Reliance on Machine-Dependent Data Representation,"The code uses a data representation that relies on low-level
					data representation or constructs that may vary across different processors,
					physical machines, OSes, or other physical components.",Base,Weakness,CWE;Weakness
CWE-1103,Use of Platform-Dependent Third Party Components,"The product relies on third-party software components that do
					not provide equivalent functionality across all desirable
					platforms.",Base,Weakness,CWE;Weakness
CWE-1104,Use of Unmaintained Third Party Components,"The product relies on third-party components that are not
					actively supported or maintained by the original developer or a trusted proxy
					for the original developer.",Base,Weakness,CWE;Weakness
CWE-1105,Insufficient Encapsulation of Machine-Dependent Functionality,"The product or code uses machine-dependent functionality, but
					it does not sufficiently encapsulate or isolate this functionality from
					the rest of the code.",Base,Weakness,CWE;Weakness
CWE-1106,Insufficient Use of Symbolic Constants,"The source code uses literal constants that may need to change
					or evolve over time, instead of using symbolic constants.",Base,Weakness,CWE;Weakness
CWE-1107,Insufficient Isolation of Symbolic Constant Definitions,"The source code uses symbolic constants, but it does not
					sufficiently place the definitions of these constants into a more centralized or
					isolated location.",Base,Weakness,CWE;Weakness
CWE-1108,Excessive Reliance on Global Variables,"The code is structured in a way that relies too much on using
					or setting global variables throughout various points in the code, instead of
					preserving the associated information in a narrower, more local
					context.",Base,Weakness,CWE;Weakness
CWE-1109,Use of Same Variable for Multiple Purposes,"The code contains a callable, block, or other code element in
					which the same variable is used to control more than one unique task or store
					more than one instance of data.",Base,Weakness,CWE;Weakness
CWE-111,Direct Use of Unsafe JNI,"When a Java application uses the Java Native Interface (JNI) to call code written in another programming language, it can expose the application to weaknesses in that code, even if those weaknesses cannot occur in Java.",Variant,Weakness,CWE;Weakness
CWE-1110,Incomplete Design Documentation,"The product's design documentation does not adequately describe
					control flow, data flow, system initialization, relationships between tasks,
					components, rationales, or other important aspects of the
					design.",Base,Weakness,CWE;Weakness
CWE-1111,Incomplete I/O Documentation,"The product's documentation does not adequately define inputs,
					outputs, or system/software interfaces.",Base,Weakness,CWE;Weakness
CWE-1112,Incomplete Documentation of Program Execution,"The document does not fully define all mechanisms that are used
					to control or influence how product-specific programs are
					executed.",Base,Weakness,CWE;Weakness
CWE-1113,Inappropriate Comment Style,"The source code uses comment styles or formats that are
					inconsistent or do not follow expected standards for the
					product.",Base,Weakness,CWE;Weakness
CWE-1114,Inappropriate Whitespace Style,"The source code contains whitespace that is inconsistent across
					the code or does not follow expected standards for the
					product.",Base,Weakness,CWE;Weakness
CWE-1115,Source Code Element without Standard Prologue,"The source code contains elements such as source files 
					that do not consistently provide a prologue or header that has been
					standardized for the project.",Base,Weakness,CWE;Weakness
CWE-1116,Inaccurate Comments,"The source code contains comments that do not accurately
					describe or explain aspects of the portion of the code with which the comment is
					associated.",Base,Weakness,CWE;Weakness
CWE-1117,Callable with Insufficient Behavioral Summary,"The code contains a function or method whose signature and/or associated
					inline documentation does not sufficiently describe the callable's inputs, outputs,
					side effects, assumptions, or return codes.",Base,Weakness,CWE;Weakness
CWE-1118,Insufficient Documentation of Error Handling Techniques,"The documentation does not sufficiently describe the techniques
					that are used for error handling, exception processing, or similar
					mechanisms.",Base,Weakness,CWE;Weakness
CWE-1119,Excessive Use of Unconditional Branching,"The code uses too many unconditional branches (such as
					'goto').",Base,Weakness,CWE;Weakness
CWE-112,Missing XML Validation,The software accepts XML from an untrusted source but does not validate the XML against the proper schema.,Base,Weakness,CWE;Weakness
CWE-1120,Excessive Code Complexity,"The code is too complex, as calculated using a well-defined,
					quantitative measure.",Class,Weakness,CWE;Weakness
CWE-1121,Excessive McCabe Cyclomatic Complexity,"The code contains McCabe cyclomatic complexity that exceeds a
	desirable maximum.",Base,Weakness,CWE;Weakness
CWE-1122,Excessive Halstead Complexity,"The code is structured in a way that a Halstead complexity
					measure exceeds a desirable maximum.",Base,Weakness,CWE;Weakness
CWE-1123,Excessive Use of Self-Modifying Code,"The product uses too much self-modifying
					code.",Base,Weakness,CWE;Weakness
CWE-1124,Excessively Deep Nesting,"The code contains a callable or other code grouping in which
					the nesting / branching is too deep.",Base,Weakness,CWE;Weakness
CWE-1125,Excessive Attack Surface,"The product has an attack surface whose quantitative
					measurement exceeds a desirable maximum.",Base,Weakness,CWE;Weakness
CWE-1126,Declaration of Variable with Unnecessarily Wide Scope,"The source code declares a variable in one scope, but the
					variable is only used within a narrower scope.",Base,Weakness,CWE;Weakness
CWE-1127,Compilation with Insufficient Warnings or Errors,"The code is compiled without sufficient warnings enabled, which
					may prevent the detection of subtle bugs or quality
					issues.",Base,Weakness,CWE;Weakness
CWE-113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),"The software receives data from an HTTP agent/component (e.g., web server, proxy, browser, etc.), but it does not neutralize or incorrectly neutralizes CR and LF characters before the data is included in outgoing HTTP headers.",Variant,Weakness,CWE;Weakness
CWE-114,Process Control,Executing commands or loading libraries from an untrusted source or in an untrusted environment can cause an application to execute malicious commands (and payloads) on behalf of an attacker.,Class,Weakness,CWE;Weakness
CWE-115,Misinterpretation of Input,"The software misinterprets an input, whether from an attacker or another product, in a security-relevant fashion.",Base,Weakness,CWE;Weakness
CWE-116,Improper Encoding or Escaping of Output,"The software prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved.",Class,Weakness,CWE;Weakness
CWE-1164,Irrelevant Code,"The program contains code that is not essential for execution,
	     i.e. makes no state changes and has no side effects that alter
	     data or control flow, such that removal of the code would have no impact
	     to functionality or correctness.",Class,Weakness,CWE;Weakness
CWE-117,Improper Output Neutralization for Logs,The software does not neutralize or incorrectly neutralizes output that is written to logs.,Base,Weakness,CWE;Weakness
CWE-1173,Improper Use of Validation Framework,"The application does not use, or incorrectly uses, an input validation framework that is provided by the source language or an independent library.",Base,Weakness,CWE;Weakness
CWE-1174,ASP.NET Misconfiguration: Improper Model Validation,"The ASP.NET application does not use, or incorrectly uses, the model validation framework.",Variant,Weakness,CWE;Weakness
CWE-1176,Inefficient CPU Computation,"The program performs CPU computations using
         algorithms that are not as efficient as they could be for the
         needs of the developer, i.e., the computations can be
         optimized further.",Class,Weakness,CWE;Weakness
CWE-1177,Use of Prohibited Code,"The software uses a function, library, or third party component
	     that has been explicitly prohibited, whether by the developer or
	     the customer.",Class,Weakness,CWE;Weakness
CWE-118,Incorrect Access of Indexable Resource ('Range Error'),"The software does not restrict or incorrectly restricts operations within the boundaries of a resource that is accessed using an index or pointer, such as memory or files.",Class,Weakness,CWE;Weakness
CWE-1187,DEPRECATED: Use of Uninitialized Resource,This entry has been deprecated because it was a duplicate of CWE-908. All content has been transferred to CWE-908.,Base,Weakness,CWE;Weakness
CWE-1188,Insecure Default Initialization of Resource,"The software initializes or sets a resource with a default that is intended to be changed by the administrator, but the default is not secure.",Base,Weakness,CWE;Weakness
CWE-1189,Improper Isolation of Shared Resources on System-on-a-Chip (SoC),The System-On-a-Chip (SoC) does not properly isolate shared resources between trusted and untrusted agents.,Base,Weakness,CWE;Weakness
CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,"The software performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer.",Class,Weakness,CWE;Weakness
CWE-1190,DMA Device Enabled Too Early in Boot Phase,"The product enables a Direct Memory Access (DMA) capable device before the security configuration settings are established, which allows an attacker to extract data from or gain privileges on the product.",Base,Weakness,CWE;Weakness
CWE-1191,On-Chip Debug and Test Interface With Improper Access Control,The chip does not implement or does not correctly perform access control to check whether users are authorized to access internal registers and test modes through the physical debug/test interface.,Base,Weakness,CWE;Weakness
CWE-1192,"System-on-Chip (SoC) Using Components without Unique, Immutable Identifiers","The System-on-Chip (SoC) does not have unique, immutable identifiers for each of its components.",Base,Weakness,CWE;Weakness
CWE-1193,Power-On of Untrusted Execution Core Before Enabling Fabric Access Control,The product enables components that contain untrusted firmware before memory and fabric access controls have been enabled.,Base,Weakness,CWE;Weakness
CWE-12,ASP.NET Misconfiguration: Missing Custom Error Page,An ASP .NET application must enable custom error pages in order to prevent attackers from mining information from the framework's built-in responses.,Variant,Weakness,CWE;Weakness
CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),"The program copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow.",Base,Weakness,CWE;Weakness
CWE-1204,Generation of Weak Initialization Vector (IV),"The product uses a cryptographic primitive that uses an Initialization
			Vector (IV), but the product does not generate IVs that are
			sufficiently unpredictable or unique according to the expected
			cryptographic requirements for that primitive.
			",Base,Weakness,CWE;Weakness
CWE-1209,Failure to Disable Reserved Bits,"The reserved bits in a hardware design are not disabled prior to production. Typically, reserved bits are used for future capabilities and should not support any functional logic in the design.   However, designers might covertly use these bits to debug or further develop new capabilities in production hardware. Adversaries with access to these bits will write to them in hopes of compromising hardware state.",Base,Weakness,CWE;Weakness
CWE-121,Stack-based Buffer Overflow,"A stack-based buffer overflow condition is a condition where the buffer being overwritten is allocated on the stack (i.e., is a local variable or, rarely, a parameter to a function).",Variant,Weakness,CWE;Weakness
CWE-122,Heap-based Buffer Overflow,"A heap overflow condition is a buffer overflow, where the buffer that can be overwritten is allocated in the heap portion of memory, generally meaning that the buffer was allocated using a routine such as malloc().",Variant,Weakness,CWE;Weakness
CWE-1220,Insufficient Granularity of Access Control,"The product implements access controls via a policy or other feature with the intention to disable or restrict accesses (reads and/or writes) to assets in a system from untrusted agents. However, implemented access controls lack required granularity, which renders the control policy too broad because it allows accesses from unauthorized agents to the security-sensitive assets.",Base,Weakness,CWE;Weakness
CWE-1221,Incorrect Register Defaults or Module Parameters,Hardware description language code incorrectly defines register defaults or hardware IP parameters to insecure values.,Base,Weakness,CWE;Weakness
CWE-1222,Insufficient Granularity of Address Regions Protected by Register Locks,The product defines a large address region protected from modification by the same register lock control bit. This results in a conflict between the functional requirement that some addresses need to be writable by software during operation and the security requirement that the system configuration lock bit must be set during the boot process.,Variant,Weakness,CWE;Weakness
CWE-1223,Race Condition for Write-Once Attributes,"A write-once register in hardware design is programmable by an untrusted software component earlier than the trusted software component, resulting in a race condition issue.",Base,Weakness,CWE;Weakness
CWE-1224,Improper Restriction of Write-Once Bit Fields,"The hardware design control register 'sticky bits' or write-once bit fields are improperly implemented, such that they can be reprogrammed by software.",Base,Weakness,CWE;Weakness
CWE-1229,Creation of Emergent Resource,"The product manages resources or behaves in a way that indirectly creates a new, distinct resource that can be used by attackers in violation of the intended policy.",Class,Weakness,CWE;Weakness
CWE-123,Write-what-where Condition,"Any condition where the attacker has the ability to write an arbitrary value to an arbitrary location, often as the result of a buffer overflow.",Base,Weakness,CWE;Weakness
CWE-1230,Exposure of Sensitive Information Through Metadata,"The product prevents direct access to a resource containing sensitive information, but it does not sufficiently limit access to metadata that is derived from the original, sensitive information.",Base,Weakness,CWE;Weakness
CWE-1231,Improper Prevention of Lock Bit Modification,"The product uses a trusted lock bit for restricting access to registers, address regions, or other resources, but the product does not prevent the value of the lock bit from being modified after it has been set.",Base,Weakness,CWE;Weakness
CWE-1232,Improper Lock Behavior After Power State Transition,"Register lock bit protection disables changes to system configuration once the bit is set. Some of the protected registers or lock bits become programmable after power state transitions (e.g., Entry and wake from low power sleep modes) causing the system configuration to be changeable.",Base,Weakness,CWE;Weakness
CWE-1233,Security-Sensitive Hardware Controls with Missing Lock Bit Protection,"The product uses a register lock bit protection mechanism, but it does not ensure that the lock bit prevents modification of system registers or controls that perform changes to important hardware system configuration.",Base,Weakness,CWE;Weakness
CWE-1234,Hardware Internal or Debug Modes Allow Override of Locks,System configuration protection may be bypassed during debug mode.,Base,Weakness,CWE;Weakness
CWE-1235,Incorrect Use of Autoboxing and Unboxing for Performance Critical Operations,"The code uses boxed primitives, which may introduce inefficiencies into performance-critical operations.",Base,Weakness,CWE;Weakness
CWE-1236,Improper Neutralization of Formula Elements in a CSV File,"The software saves user-provided information into a Comma-Separated Value (CSV) file, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as a command when the file is opened by spreadsheet software.",Base,Weakness,CWE;Weakness
CWE-1239,Improper Zeroization of Hardware Register,The hardware product does not properly clear sensitive information from built-in registers when the user of the hardware block changes.,Variant,Weakness,CWE;Weakness
CWE-124,Buffer Underwrite ('Buffer Underflow'),The software writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.,Base,Weakness,CWE;Weakness
CWE-1240,Use of a Cryptographic Primitive with a Risky Implementation,"To fulfill the need for a cryptographic primitive, the product implements a cryptographic algorithm using a non-standard, unproven, or disallowed/non-compliant cryptographic implementation.",Base,Weakness,CWE;Weakness
CWE-1241,Use of Predictable Algorithm in Random Number Generator,The device uses an algorithm that is predictable and generates a pseudo-random number.,Base,Weakness,CWE;Weakness
CWE-1242,Inclusion of Undocumented Features or Chicken Bits,The device includes chicken bits or undocumented features that can create entry points for unauthorized actors.,Base,Weakness,CWE;Weakness
CWE-1243,Sensitive Non-Volatile Information Not Protected During Debug,Access to security-sensitive information stored in fuses is not limited during debug.,Base,Weakness,CWE;Weakness
CWE-1244,Internal Asset Exposed to Unsafe Debug Access Level or State,"The product uses physical debug or test
        interfaces with support for multiple access levels, but it
        assigns the wrong debug access level to an internal asset,
        providing unintended access to the asset from untrusted debug
        agents.",Base,Weakness,CWE;Weakness
CWE-1245,Improper Finite State Machines (FSMs) in Hardware Logic,"Faulty finite state machines (FSMs) in the hardware logic allow an attacker to put the system in an undefined state, to cause a denial of service (DoS) or gain privileges on the victim's system.",Base,Weakness,CWE;Weakness
CWE-1246,Improper Write Handling in Limited-write Non-Volatile Memories,The product does not implement or incorrectly implements wear leveling operations in limited-write non-volatile memories.,Base,Weakness,CWE;Weakness
CWE-1247,Improper Protection Against Voltage and Clock Glitches,The device does not contain or contains incorrectly implemented circuitry or sensors to detect and mitigate voltage and clock glitches and protect sensitive information or software contained on the device.,Base,Weakness,CWE;Weakness
CWE-1248,Semiconductor Defects in Hardware Logic with Security-Sensitive Implications,The security-sensitive hardware module contains semiconductor defects.,Base,Weakness,CWE;Weakness
